name,name_raw,address_raw,address_clean,address_for_geocoding,type,city,hours
მეამა ქოლექთი • თბილისი,მეამა ქოლექთი • თბილისი,ლისის ტბა,ლისის ტბა,"ლისის ტბა, Tbilisi, Georgia",Collect,Tbilisi,ღიაა 22:00 სთ_მდე
მეამა ქოლექთი • რუსთავი,მეამა ქოლექთი • რუსთავი,"რუსთავი, კოსტავას 20","რუსთავი, კოსტავას 20","რუსთავი, კოსტავას 20, Rustavi, Georgia",Collect,Rustavi,ღიაა 00:00 სთ_მდე
მეამა ქოლექთი • ყაზბეგი,მეამა ქოლექთი • ყაზბეგი,"თბილისი, ალ.ყაზბეგის 41",ალ.ყაზბეგის 41,"ალ.ყაზბეგის 41, Tbilisi, Georgia",Collect,Tbilisi,ღიაა 21:00 სთ_მდე
მეამა ქოლექთი • თელავი,მეამა ქოლექთი • თელავი,"თელავი, ნადიკვარის ქუჩა 16 ა","თელავი, ნადიკვარის ქუჩა 16 ა","თელავი, ნადიკვარის ქუჩა 16 ა, Telavi, Georgia",Collect,Telavi,ღიაა 21:00 სთ_მდე
მეამა ქოლექთი • გორი,მეამა ქოლექთი • გორი,"გორი, ამილახვარია ქ. #1","გორი, ამილახვარია ქ. #1","გორი, ამილახვარია ქ. #1, Gori, Georgia",Collect,Gori,ღიაა 21:00 სთ_მდე
მეამა ქოლექთი • თბილისი,მეამა ქოლექთი • თბილისი,დედაენის ბაღი,დედაენის ბაღი,"დედაენის ბაღი, Tbilisi, Georgia",Collect,Tbilisi,ღიაა 22:00 სთ_მდე
მეამა ქოლექთი • ნაფარეული,მეამა ქოლექთი • ნაფარეული,"თბილისი, ნაფარეულის ქუჩა 4",ნაფარეულის ქუჩა 4,"ნაფარეულის ქუჩა 4, Tbilisi, Georgia",Collect,Tbilisi,ღიაა 21:30 სთ_მდე
მეამა ქოლექთი• ქუთაისი,მეამა ქოლექთი• ქუთაისი,"ქუთაისი, თამარ მეფის 37","ქუთაისი, თამარ მეფის 37","ქუთაისი, თამარ მეფის 37, Kutaisi, Georgia",Collect,Kutaisi,ღიაა 23:00 სთ_მდე
მეამა ქოლექთი • ქუთაისი მოლი,მეამა ქოლექთი • ქუთაისი მოლი,"ქუთაისი, ჟ.შარტავას 2","ქუთაისი, ჟ.შარტავას 2","ქუთაისი, ჟ.შარტავას 2, Kutaisi, Georgia",Collect,Kutaisi,ღიაა 21:00 სთ_მდე
მეამა ქოლექთი • KIU,მეამა ქოლექთი • KIU,მეამა ქოლექთი • ქუთაისი მოლი,მეამა ქოლექთი • ქუთაისი მოლი,"მეამა ქოლექთი • ქუთაისი მოლი, Kutaisi, Georgia",Collect,Kutaisi,ღიაა 18:00 სთ_მდე
მეამა ქოლექთი • ფოთი,მეამა ქოლექთი • ფოთი,დავით აღმაშენებლის №9-ში,დავით აღმაშენებლის №9-ში,"დავით აღმაშენებლის №9-ში, Poti, Georgia",Collect,Poti,ღიაა 23:00 სთ-მდე
მეამა ქოლექთი • ლილო,მეამა ქოლექთი • ლილო,"თბილისი, კახეთის გზატკეცილი N 271ბ",კახეთის გზატკეცილი N 271ბ,"კახეთის გზატკეცილი N 271ბ, Tbilisi, Georgia",Collect,Tbilisi,ღიაა 21:00 სთ-მდე
მეამა ქოლექთი • ვაზისუბანი,მეამა ქოლექთი • ვაზისუბანი,"თბილისი, ვაზისუბანი I მიკრო, II კორპუსის მიმდებარედ","ვაზისუბანი I მიკრო, II კორპუსის მიმდებარედ","ვაზისუბანი I მიკრო, II კორპუსის მიმდებარედ, Tbilisi, Georgia",Collect,Tbilisi,ღიაა 00:00 სთ-მდე
მეამა ქოლექთი • ჭოველიძე,მეამა ქოლექთი • ჭოველიძე,"თბილისი, თამარ ჭოველიძის 11",თამარ ჭოველიძის 11,"თამარ ჭოველიძის 11, Tbilisi, Georgia",Collect,Tbilisi,ღიაა 21:00 სთ-მდე
მეამა ქოლექთი • მცხეთა,მეამა ქოლექთი • მცხეთა,"მცხეთა, მირიან მეფის ქუჩა","მცხეთა, მირიან მეფის ქუჩა","მცხეთა, მირიან მეფის ქუჩა, Mtskheta, Georgia",Collect,Mtskheta,ღიაა 19:00 სთ-მდე
PSP Insurance,"PSP Insurance ""dispenser""",ქ.თბილისი აღმაშენებელის 148/3,აღმაშენებელის 148/3,"აღმაშენებელის 148/3, Tbilisi, Georgia",Dropper,Tbilisi,N/A
onairentertainment,onairentertainment,თბილისი გურამიშვილის გამზირი 158,გურამიშვილის გამზირი 158,"გურამიშვილის გამზირი 158, Tbilisi, Georgia",Dropper,Tbilisi,N/A
TBC-Melikishvili,TBC-Melikishvili,"123 Main St, City, Country 3","123 Main St, City, Country 3","123 Main St, City, Country 3, Tbilisi, Georgia",Dropper,Tbilisi,N/A
TBC-CHavchavadze,TBC-CHavchavadze,ქ.თბილისი თორნიკე ერისთავის 8,თორნიკე ერისთავის 8,"თორნიკე ერისთავის 8, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Credo Bank 2,Credo Bank 2,ქ.თბილისი თაბუკაშვილის 27,თაბუკაშვილის 27,"თაბუკაშვილის 27, Tbilisi, Georgia",Dropper,Tbilisi,N/A
BOG (I. Gagarini Str.),"BOG (I. Gagarini Str.) ""dispenser""",ქ.თბილისი გაგარინის 29ა,გაგარინის 29ა,"გაგარინის 29ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Credo Bank (Tabukashvili St),Credo Bank (Tabukashvili St),ქ.თბილისი თაბუკაშვილის 27,თაბუკაშვილის 27,"თაბუკაშვილის 27, Tbilisi, Georgia",Dropper,Tbilisi,N/A
alfa romeo,alfa romeo,"123 Main St, City, Country 3","123 Main St, City, Country 3","123 Main St, City, Country 3, Tbilisi, Georgia",Dropper,Tbilisi,N/A
GIPA,"GIPA ""dispenser""",ქ.თბილისი ბროსეს 2,ბროსეს 2,"ბროსეს 2, Tbilisi, Georgia",Dropper,Tbilisi,N/A
TBC Bank (Politkovskaya str.),"TBC Bank (Politkovskaya str.) ""dispenser""",ქ.თბილისი პოლიტკოვსკაიას 14,პოლიტკოვსკაიას 14,"პოლიტკოვსკაიას 14, Tbilisi, Georgia",Dropper,Tbilisi,N/A
REDISONI,REDISONI,"თბილისი, რესპუბლიკის მოედანი 1",რესპუბლიკის მოედანი 1,"რესპუბლიკის მოედანი 1, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Brand Shop City Mall,Brand Shop City Mall,ქ.თბილისი ქავთარაძის 1,ქავთარაძის 1,"ქავთარაძის 1, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Opera,Opera,ქ.თბილისი რუსთაველის 25,რუსთაველის 25,"რუსთაველის 25, Rustavi, Georgia",Dropper,Rustavi,N/A
Reiman-1,"Reiman-1 ""dispenser""",ქ.თბილისი სანდრო ეულის 7,სანდრო ეულის 7,"სანდრო ეულის 7, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Supreme Court of Georgia,Supreme Court of Georgia,ქ.თბილისი ზუბალაშვილების 32,ზუბალაშვილების 32,"ზუბალაშვილების 32, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Municipal Fund of Georgia,"Municipal Fund of Georgia ""dispenser""",ქ.თბილისი აღმაშენებლის 150,აღმაშენებლის 150,"აღმაშენებლის 150, Tbilisi, Georgia",Dropper,Tbilisi,N/A
OPPA ( Kazbegi Ave),"OPPA ( Kazbegi Ave) ""dispenser""",ქ.თბილისი ყაზბეგის 15,ყაზბეგის 15,"ყაზბეგის 15, Tbilisi, Georgia",Dropper,Tbilisi,N/A
GEORGIAN PARLIAMENT,GEORGIAN PARLIAMENT dispenser,ქ.თბილისი რუსთაველის 8,რუსთაველის 8,"რუსთაველის 8, Rustavi, Georgia",Dropper,Rustavi,N/A
