name,name_raw,address_raw,address_clean,address_for_geocoding,type,city,hours
Bank Of Georgia - Lisi,"Bank Of Georgia - Lisi ""dispenser""",ქ.თბილისი ლისის ტბის მ/ტ.(წრიულთნ),ლისის ტბის მ/ტ.(წრიულთნ),"ლისის ტბის მ/ტ.(წრიულთნ), Tbilisi, Georgia",Dropper,Tbilisi,N/A
Lomisi,"Lomisi ""dispenser""",ქ.თბილისი ბიძინა კვერნაძის 10,ბიძინა კვერნაძის 10,"ბიძინა კვერნაძის 10, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Tbilisi Green School Saburtalo,"Tbilisi Green School Saburtalo ""dispenser""",ქ.თბილისი ბესარიონ ჟღენტის 37,ბესარიონ ჟღენტის 37,"ბესარიონ ჟღენტის 37, Tbilisi, Georgia",Dropper,Tbilisi,N/A
operation technical department of mia,operation technical department of mia,ქ.თბილისი ქავთარაძის 5ა,ქავთარაძის 5ა,"ქავთარაძის 5ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
National Probation Agency,"National Probation Agency ""dispenser""",ქ.თბილისი ყაზბეგის 42/42ა,ყაზბეგის 42/42ა,"ყაზბეგის 42/42ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
TBC-Kazbegi,TBC-Kazbegi,ქ.თბილისი ყაზბეგის 12,ყაზბეგის 12,"ყაზბეგის 12, Tbilisi, Georgia",Dropper,Tbilisi,N/A
BOG 7(Gagarini 29),BOG 7(Gagarini 29),"ქ.თბილისი, გაგარინის 29",გაგარინის 29,"გაგარინის 29, Tbilisi, Georgia",Dropper,Tbilisi,N/A
TBC-Vaja-fshavela,TBC-Vaja-fshavela,ქ.თბილისი ვაჟა-ფშაველას 49,ვაჟა-ფშაველას 49,"ვაჟა-ფშაველას 49, Tbilisi, Georgia",Dropper,Tbilisi,N/A
BOG 8,BOG 8,ქ.თბილისი ვაჟა ფშაველას 76,ვაჟა ფშაველას 76,"ვაჟა ფშაველას 76, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Reiman-2,"Reiman-2 ""dispenser""",ქ.თბილისი სანდრო ეულის 7,სანდრო ეულის 7,"სანდრო ეულის 7, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Alte University,"Alte University ""dispenser""",ქ.თბილისი უნივერსიტეტის 2,უნივერსიტეტის 2,"უნივერსიტეტის 2, Tbilisi, Georgia",Dropper,Tbilisi,N/A
co-working radius,co-working radius,თბილისი დიდუბე პლაზა წერეთელი,დიდუბე პლაზა წერეთელი,"დიდუბე პლაზა წერეთელი, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Sulxan saba,Sulxan saba,კ.ქუთათელაძის 3,კ.ქუთათელაძის 3,"კ.ქუთათელაძის 3, Tbilisi, Georgia",Dropper,Tbilisi,N/A
wkalburtis akademia,wkalburtis akademia,"თბილისი, პოლიტკოვსკაიას ქუჩა 30",პოლიტკოვსკაიას ქუჩა 30,"პოლიტკოვსკაიას ქუჩა 30, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Bravo Records,"Bravo Records ""dispenser""",ქ.თბილისი კოსტავას 68/2,კოსტავას 68/2,"კოსტავას 68/2, Tbilisi, Georgia",Dropper,Tbilisi,N/A
BOG Bakhtrioni,"BOG Bakhtrioni ""dispenser""",ქ.თბილისი ბახტრიონის 22,ბახტრიონის 22,"ბახტრიონის 22, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Bank of Georgia iTower,Bank of Georgia iTower,ქ.თბილისი გაგარინის 29,გაგარინის 29,"გაგარინის 29, Tbilisi, Georgia",Dropper,Tbilisi,N/A
TBILISI-ENERGY 1,"TBILISI-ENERGY 1 ""dispenser""",ქ.თბილისი მიცკევიჩის 18ა,მიცკევიჩის 18ა,"მიცკევიჩის 18ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
BOG_9,BOG_9,"ქ.თბილისი,მიხეილ ბურძგლა 56",მიხეილ ბურძგლა 56,"მიხეილ ბურძგლა 56, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Rev-Administration,"Rev-Administration ""dispenser""",ქ.თბილისი ალექსიძის 1,ალექსიძის 1,"ალექსიძის 1, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Episode Tbilisi,"Episode Tbilisi ""dispenser""","123 Main St, City, Country 5","123 Main St, City, Country 5","123 Main St, City, Country 5, Tbilisi, Georgia",Dropper,Tbilisi,N/A
tbc chavchavadze,tbc chavchavadze,ჭავჭავაძის 2,ჭავჭავაძის 2,"ჭავჭავაძის 2, Tbilisi, Georgia",Dropper,Tbilisi,N/A
bog-10,bog-10,"ქ. თბილისი, ბიძინა კვერნაძე",ბიძინა კვერნაძე,"ბიძინა კვერნაძე, Tbilisi, Georgia",Dropper,Tbilisi,N/A
palitra media 2,palitra media 2,"თბილისი, იოსებიძის 49",იოსებიძის 49,"იოსებიძის 49, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Revenue-Service-Airport,"Revenue-Service-Airport ""dispenser""",ქ.თბილისი აეროპორტთან (ლასარე),აეროპორტთან (ლასარე),"აეროპორტთან (ლასარე), Tbilisi, Georgia",Dropper,Tbilisi,N/A
TBC-Isani,TBC-Isani,ქ.თბილისი ქ.წამებულის 67,ქ.წამებულის 67,"ქ.წამებულის 67, Tbilisi, Georgia",Dropper,Tbilisi,N/A
tbc chavchavadze,tbc chavchavadze,ჭავჭავაძის 29,ჭავჭავაძის 29,"ჭავჭავაძის 29, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Prosecutor General ( 4 sartuli),"Prosecutor General ( 4 sartuli) ""dispenser""",ქ.თბილისი გორგასლის 24,გორგასლის 24,"გორგასლის 24, Tbilisi, Georgia",Dropper,Tbilisi,N/A
TBC-Rustavi,TBC-Rustavi,ქ.რუსთავი მეგობრობის 14,ქ.რუსთავი მეგობრობის 14,"ქ.რუსთავი მეგობრობის 14, Rustavi, Georgia",Dropper,Rustavi,N/A
TBC-Ortachala,TBC-Ortachala,ქ.თბილისი გორგასლის 41,გორგასლის 41,"გორგასლის 41, Tbilisi, Georgia",Dropper,Tbilisi,N/A
NAPR HQ1 (Gorgasali Str),"NAPR HQ1 (Gorgasali Str) ""dispenser""",ქ.თბილისი გორგასლის 22,გორგასლის 22,"გორგასლის 22, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Bokhua,"Bokhua ""dispenser""",ქ.თბილისი ჩაჩავას 1,ჩაჩავას 1,"ჩაჩავას 1, Tbilisi, Georgia",Dropper,Tbilisi,N/A
NAPR HQ2 (Gorgasali Str),"NAPR HQ2 (Gorgasali Str)""dispenser""",ქ.თბილისი გორგასლის 22,გორგასლის 22,"გორგასლის 22, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Pineo,"Pineo ""dispenser""",ქ.თბილისი გორგასლის 93,გორგასლის 93,"გორგასლის 93, Tbilisi, Georgia",Dropper,Tbilisi,N/A
TBC-Leonidze,TBC-Leonidze,ქ.თბილისი ლეონიძის 2,ლეონიძის 2,"ლეონიძის 2, Tbilisi, Georgia",Dropper,Tbilisi,N/A
TBC-Mtawminda,TBC-Mtawminda,ქ.თბილისი თვისუფლების მოედანი (გუდიაშვილის 7),თვისუფლების მოედანი (გუდიაშვილის 7),"თვისუფლების მოედანი (გუდიაშვილის 7), Tbilisi, Georgia",Dropper,Tbilisi,N/A
SkyTel,"SkyTel ""dispenser""",ქ.თბილისი გურამიშვილის 23ა,გურამიშვილის 23ა,"გურამიშვილის 23ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
National Bank of Georgia,"National Bank of Georgia ""dispenser""",ქ.თბილისი სანაპიროს 2,სანაპიროს 2,"სანაპიროს 2, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Ministry of Economy and Sustainable Development,Ministry of Economy and Sustainable Development,ქ.თბილისი სანაპიროს 2,სანაპიროს 2,"სანაპიროს 2, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Dental mitskhevichi/ HBI-Dentinmplant,Dental mitskhevichi/ HBI-Dentinmplant,ქ.თბილისი ადამ მიცკევიჩის 20,ადამ მიცკევიჩის 20,"ადამ მიცკევიჩის 20, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Palitra Media (T. Iosebidze Str.),Palitra Media (T. Iosebidze Str.) dispenser,ქ.თბილისი იოსებიძის 49,იოსებიძის 49,"იოსებიძის 49, Tbilisi, Georgia",Dropper,Tbilisi,N/A
CHACHAVA CLINIC,"CHACHAVA CLINIC ""dispenser""",ქ.თბილისი კოსტავას 38,კოსტავას 38,"კოსტავას 38, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Silknet (gotua),Silknet (gotua),ქ.თბილისი ჰეიდარ ალიევის სანაპირო 7,ჰეიდარ ალიევის სანაპირო 7,"ჰეიდარ ალიევის სანაპირო 7, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Betlive Varketili,Betlive Varketili,ქ.თბილისი ვარკეთილის მეტროსთან,ვარკეთილის მეტროსთან,"ვარკეთილის მეტროსთან, Tbilisi, Georgia",Dropper,Tbilisi,N/A
bog pushkini,bog pushkini,ქ.თბილისი ალექსანდრე პუშნიკის 3,ალექსანდრე პუშნიკის 3,"ალექსანდრე პუშნიკის 3, Tbilisi, Georgia",Dropper,Tbilisi,N/A
betlive gldani 3,betlive gldani 3,ქ.თბილისი ომარ ხიზანიშვილის 13,ომარ ხიზანიშვილის 13,"ომარ ხიზანიშვილის 13, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Pharagraph Bog Bank,Pharagraph Bog Bank,ქ.თბილისი თავისუფლების მოედანი 7,თავისუფლების მოედანი 7,"თავისუფლების მოედანი 7, Tbilisi, Georgia",Dropper,Tbilisi,N/A
LTD MARADONA,LTD MARADONA,ქ.თბილისი კონსტიტუციის 4,კონსტიტუციის 4,"კონსტიტუციის 4, Tbilisi, Georgia",Dropper,Tbilisi,N/A
tegeta motorsi,tegeta motorsi,"თბილისი, ამერიკის საელჩოსთან",ამერიკის საელჩოსთან,"ამერიკის საელჩოსთან, Tbilisi, Georgia",Dropper,Tbilisi,N/A
New-Capital Georgian Dream,"New-Capital Georgian Dream ""dispenser",ქ.თბილისი გორგასლის 20,გორგასლის 20,"გორგასლის 20, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Liberty Bank HQ (Chavchavadze Ave),Liberty Bank HQ (Chavchavadze Ave),ქ.თბილისი ჭავჭავაძის 74,ჭავჭავაძის 74,"ჭავჭავაძის 74, Tbilisi, Georgia",Dropper,Tbilisi,N/A
tbc,tbc,ქ.თბილისი აღმაშენებლის გამზირი 138ა,აღმაშენებლის გამზირი 138ა,"აღმაშენებლის გამზირი 138ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Status,Status,ქ.თბილისი ლუბლიანას 13დ,ლუბლიანას 13დ,"ლუბლიანას 13დ, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Artstudio Project,"Artstudio Project ""dispenser""",ქ.თბილისი საკანდელიძის 3,საკანდელიძის 3,"საკანდელიძის 3, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Kcall,Kcall,ქ.თბილისი დიღმის მასივი 1 კვარტალი 1ა,დიღმის მასივი 1 კვარტალი 1ა,"დიღმის მასივი 1 კვარტალი 1ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
BasisBank (Amirejibi),"BasisBank (Amirejibi) ""dispenser""",ქ.თბილისი ამირეჯიბის 6,ამირეჯიბის 6,"ამირეჯიბის 6, Tbilisi, Georgia",Dropper,Tbilisi,N/A
